epoch,train_loss,val_loss_aug,val_loss_noaug,acc_aug,acc_noaug,auc_aug,auc_noaug,epoch_time_sec,best_auc_aug,best_epoch,best_acc_aug,best_acc_auc_aug,best_acc_epoch
1,0.2736122623195543,0.2670885321001212,0.08506784091703594,0.88,0.98,0.9588161882688536,0.999643430201462,547.5162527561188,0.9588161882688536,1,0.88,0.9588161882688536,1
2,0.29038988094119467,0.34578243454297386,0.074391328903536,0.8533333333333334,0.98,0.9317168835799607,0.999643430201462,546.5970957279205,0.9588161882688536,1,0.88,0.9588161882688536,1
3,0.24926971142782883,0.33384900767356157,0.06012671800330281,0.8533333333333334,0.98,0.949901943305402,0.999643430201462,542.4313383102417,0.9588161882688536,1,0.88,0.9588161882688536,1
4,0.27259871425216686,0.3023907199501991,0.07102617458750804,0.86,0.9866666666666667,0.9488322339097878,0.9994651453021929,549.3431222438812,0.9588161882688536,1,0.88,0.9588161882688536,1
5,0.25267046368357327,0.22960065582146247,0.048648173914601404,0.8933333333333333,0.98,0.9750401141023356,0.999643430201462,553.332685470581,0.9750401141023356,5,0.8933333333333333,0.9750401141023356,5
6,0.26194320230361295,0.25145929515361787,0.11832873703291019,0.9133333333333333,0.96,0.9677304332323053,0.9994651453021929,560.4726331233978,0.9750401141023356,5,0.9133333333333333,0.9677304332323053,6
7,0.27393409452017614,0.32826904838283855,0.1408704621096452,0.8533333333333334,0.94,0.9515065073988234,0.999643430201462,570.6886255741119,0.9750401141023356,5,0.9133333333333333,0.9677304332323053,6
8,0.28876002485261243,0.2981325819094976,0.13589588982363543,0.88,0.96,0.9484756641112498,0.999643430201462,537.5546019077301,0.9750401141023356,5,0.9133333333333333,0.9677304332323053,6
9,0.23733886260320158,0.3283891875545184,0.045795037920276324,0.8466666666666667,0.9933333333333333,0.9563201996790872,0.999643430201462,522.4234340190887,0.9750401141023356,5,0.9133333333333333,0.9677304332323053,6
10,0.24688687396400116,0.2616786573330561,0.07749179117381573,0.88,0.98,0.9566767694776254,0.9992868604029239,512.7903928756714,0.9750401141023356,5,0.9133333333333333,0.9677304332323053,6
11,0.2719641674090834,0.34813603485623995,0.06586857659121355,0.8533333333333334,0.9866666666666667,0.9399179889463363,0.9992868604029239,512.8815791606903,0.9750401141023356,5,0.9133333333333333,0.9677304332323053,6
12,0.24258270707200555,0.3253229123353958,0.09870196094115576,0.88,0.9666666666666667,0.9425922624353718,0.9991085755036548,514.753570318222,0.9750401141023356,5,0.9133333333333333,0.9677304332323053,6
13,0.24435321472092147,0.1713024960954984,0.06933313247437278,0.9333333333333333,0.98,0.9814583704760207,0.999643430201462,512.7009172439575,0.9814583704760207,13,0.9333333333333333,0.9814583704760207,13
14,0.24142145889646865,0.2699164260427157,0.07222058918327093,0.9133333333333333,0.98,0.9564984845783563,0.9994651453021929,514.477796792984,0.9814583704760207,13,0.9333333333333333,0.9814583704760207,13
15,0.267965230976834,0.28762476493914924,0.07535122352341811,0.8866666666666667,0.9866666666666667,0.9486539490105188,0.999643430201462,512.8451085090637,0.9814583704760207,13,0.9333333333333333,0.9814583704760207,13
16,0.2800884380629834,0.3817939015229543,0.046573013781259456,0.8533333333333334,0.9866666666666667,0.9367088607594937,0.999643430201462,513.7833340167999,0.9814583704760207,13,0.9333333333333333,0.9814583704760207,13
17,0.2636458157222061,0.2701457332074642,0.08952434801807006,0.8733333333333333,0.98,0.9564984845783563,0.999643430201462,515.063574552536,0.9814583704760207,13,0.9333333333333333,0.9814583704760207,13
18,0.23752811994622736,0.28204232125232614,0.06127514325082302,0.8866666666666667,0.98,0.9563201996790872,0.999643430201462,519.0760293006897,0.9814583704760207,13,0.9333333333333333,0.9814583704760207,13
19,0.24150296798523735,0.34915708541870116,0.052778831931451956,0.84,0.98,0.9516847922980926,0.999643430201462,517.849888086319,0.9814583704760207,13,0.9333333333333333,0.9814583704760207,13
20,0.20756058220477666,0.2992752430339654,0.056226246977845826,0.8533333333333334,0.98,0.9550722053842039,0.9994651453021929,517.596542596817,0.9814583704760207,13,0.9333333333333333,0.9814583704760207,13
21,0.22335780393113108,0.2907445100943247,0.09630252761145433,0.8866666666666667,0.9666666666666667,0.9497236584061329,0.9994651453021929,518.8124330043793,0.9814583704760207,13,0.9333333333333333,0.9814583704760207,13
22,0.26859346084734975,0.2647260006268819,0.06078817187498013,0.86,0.9866666666666667,0.9627384560527724,0.9994651453021929,518.9154989719391,0.9814583704760207,13,0.9333333333333333,0.9814583704760207,13
23,0.22181352237129912,0.27940581599871317,0.05693408449490865,0.8866666666666667,0.9866666666666667,0.9595293278659297,0.9994651453021929,519.0532517433167,0.9814583704760207,13,0.9333333333333333,0.9814583704760207,13
24,0.2234255195803502,0.2612269970277945,0.05299301180367669,0.9266666666666666,0.9866666666666667,0.9586379033695847,0.9994651453021929,518.6816940307617,0.9814583704760207,13,0.9333333333333333,0.9814583704760207,13
25,0.24003839157740858,0.22184297720591228,0.09055450161298116,0.9333333333333333,0.98,0.9746835443037974,0.999643430201462,518.4403159618378,0.9814583704760207,13,0.9333333333333333,0.9814583704760207,13
