epoch,train_loss,val_loss_aug,val_loss_noaug,acc_aug,acc_noaug,auc_aug,auc_noaug,epoch_time_sec,best_auc_aug,best_epoch,best_acc_aug,best_acc_auc_aug,best_acc_epoch
1,0.2933031565422083,0.2196588765953978,0.05430164527458449,0.92,0.9866666666666667,0.9746835443037974,0.999465145302193,546.5759360790253,0.9746835443037974,1,0.92,0.9746835443037974,1
2,0.27684968766044166,0.37530211290965476,0.09299030997479955,0.8333333333333334,0.98,0.9256551970048137,0.9994651453021929,546.2704677581787,0.9746835443037974,1,0.92,0.9746835443037974,1
3,0.26751371232792737,0.3714046937475602,0.07382210859407981,0.8666666666666667,0.98,0.9340345872704582,0.9994651453021929,542.1062841415405,0.9746835443037974,1,0.92,0.9746835443037974,1
4,0.2604660271458766,0.31542171398798624,0.08113322916130225,0.8466666666666667,0.98,0.9443751114280621,0.9994651453021929,549.0195453166962,0.9746835443037974,1,0.92,0.9746835443037974,1
5,0.24969441680285587,0.20282972348233064,0.07713073761512836,0.92,0.98,0.9793189516847923,0.9994651453021929,552.3340051174164,0.9793189516847923,5,0.92,0.9793189516847923,5
6,0.26080912894404984,0.27239613637328147,0.08499039928118388,0.8733333333333333,0.98,0.9618470315564271,0.9994651453021929,559.9815328121185,0.9793189516847923,5,0.92,0.9793189516847923,5
7,0.2691934538062881,0.31679455171028775,0.1386888951063156,0.8733333333333333,0.96,0.9522196469958994,0.9994651453021929,570.3673701286316,0.9793189516847923,5,0.92,0.9793189516847923,5
8,0.2957663945941364,0.31942751665910085,0.11919088259339333,0.8666666666666667,0.9666666666666667,0.9372437154573008,0.999643430201462,537.2381618022919,0.9793189516847923,5,0.92,0.9793189516847923,5
9,0.2201034590689575,0.4756049154202143,0.03409263025348385,0.8,0.9933333333333333,0.9454448208236761,0.9994651453021929,522.1049177646637,0.9793189516847923,5,0.92,0.9793189516847923,5
10,0.2511629634394365,0.2610701442261537,0.09047619049747785,0.88,0.9733333333333334,0.95025851310394,0.999643430201462,512.4701018333435,0.9793189516847923,5,0.92,0.9793189516847923,5
11,0.2677076249964097,0.3814214853445689,0.05744392825911442,0.8333333333333334,0.9866666666666667,0.9240506329113924,0.9994651453021929,512.5352396965027,0.9793189516847923,5,0.92,0.9793189516847923,5
12,0.25400135038530125,0.3629801621039708,0.1556369820733865,0.8666666666666667,0.9466666666666667,0.9334997325726511,0.9994651453021929,514.4144110679626,0.9793189516847923,5,0.92,0.9793189516847923,5
13,0.24230052863521612,0.21467328985532125,0.07723200095196565,0.9266666666666666,0.9866666666666667,0.9677304332323051,0.9994651453021929,511.7247655391693,0.9793189516847923,5,0.9266666666666666,0.9677304332323051,13
14,0.2427833443354158,0.28723828578988714,0.07590217024087906,0.8866666666666667,0.98,0.9509716527010161,0.9994651453021929,514.1563425064087,0.9793189516847923,5,0.9266666666666666,0.9677304332323051,13
15,0.2677932593226433,0.33133182644844056,0.07948499570290248,0.86,0.98,0.9336780174719201,0.9994651453021929,512.5298833847046,0.9793189516847923,5,0.9266666666666666,0.9677304332323051,13
16,0.2621471876300433,0.3839091478784879,0.060412217130263644,0.86,0.9866666666666667,0.9295774647887324,0.9992868604029239,513.4734547138214,0.9793189516847923,5,0.9266666666666666,0.9677304332323051,13
17,0.24524596547817482,0.34146419088045754,0.14170993253588676,0.8533333333333334,0.9533333333333334,0.9474059547156356,0.9992868604029239,514.725399017334,0.9793189516847923,5,0.9266666666666666,0.9677304332323051,13
18,0.24476154162164995,0.3088549257318179,0.07422973235448202,0.8733333333333333,0.98,0.9552504902834731,0.9994651453021929,518.7498922348022,0.9793189516847923,5,0.9266666666666666,0.9677304332323051,13
19,0.2445172473262338,0.31848605314890543,0.08628490564723809,0.8466666666666667,0.9733333333333334,0.9488322339097879,0.9992868604029239,517.491110086441,0.9793189516847923,5,0.9266666666666666,0.9677304332323051,13
20,0.21589154699707733,0.32299170434474944,0.08048274141425887,0.84,0.9733333333333334,0.9459796755214833,0.9992868604029239,517.2705416679382,0.9793189516847923,5,0.9266666666666666,0.9677304332323051,13
21,0.22101014819215326,0.2960321479042371,0.12039005097001791,0.8666666666666667,0.9666666666666667,0.9470493849170976,0.9992868604029239,518.4882371425629,0.9793189516847923,5,0.9266666666666666,0.9677304332323051,13
22,0.26021236388998875,0.2834261075655619,0.09711560523758332,0.8666666666666667,0.9733333333333334,0.9531110714922446,0.9992868604029239,518.5999121665955,0.9793189516847923,5,0.9266666666666666,0.9677304332323051,13
23,0.2211200505133499,0.313203471104304,0.07771162405610084,0.8666666666666667,0.9733333333333334,0.9468711000178285,0.9994651453021929,518.7288386821747,0.9793189516847923,5,0.9266666666666666,0.9677304332323051,13
24,0.22961418639211092,0.2824294413626194,0.07414785112564762,0.88,0.98,0.9500802282046711,0.9985737208058478,518.360021352768,0.9793189516847923,5,0.9266666666666666,0.9677304332323051,13
25,0.25223201332723394,0.24940763155619303,0.13307739270230134,0.9133333333333333,0.9666666666666667,0.9686218577286504,0.999465145302193,517.9633684158325,0.9793189516847923,5,0.9266666666666666,0.9677304332323051,13
26,0.24253014568896855,0.31803497989972435,0.11061127545932929,0.8933333333333333,0.9733333333333334,0.9377785701551078,0.999643430201462,518.4458968639374,0.9793189516847923,5,0.9266666666666666,0.9677304332323051,13
