epoch,train_loss,val_loss_aug,val_loss_noaug,acc_aug,acc_noaug,auc_aug,auc_noaug,epoch_time_sec,best_auc_aug,best_epoch,best_acc_aug,best_acc_auc_aug,best_acc_epoch
1,0.2884096868863494,0.28445097277561826,0.08715357952285557,0.9066666666666666,0.98,0.9595293278659298,0.999643430201462,548.3142414093018,0.9595293278659298,1,0.9066666666666666,0.9595293278659298,1
2,0.26742889125119235,0.41881479325393833,0.10910230057003598,0.8333333333333334,0.98,0.9251203423070066,0.999643430201462,546.9261984825134,0.9595293278659298,1,0.9066666666666666,0.9595293278659298,1
3,0.26351748994496815,0.30494695365428925,0.10014913137381276,0.8733333333333333,0.9733333333333334,0.9497236584061329,0.999643430201462,542.7521753311157,0.9595293278659298,1,0.9066666666666666,0.9595293278659298,1
4,0.26075524794704774,0.3920990727345149,0.08429161145041386,0.84,0.98,0.9379568550543769,0.999643430201462,549.6675338745117,0.9595293278659298,1,0.9066666666666666,0.9595293278659298,1
5,0.2588442327826402,0.2548522745631635,0.0684355485253036,0.9,0.98,0.9707612765198788,0.999643430201462,554.1472239494324,0.9707612765198788,5,0.9066666666666666,0.9595293278659298,1
6,0.24989733223967692,0.24567334222296874,0.10093869084492325,0.9,0.9733333333333334,0.9630950258513105,0.999465145302193,560.822343826294,0.9707612765198788,5,0.9066666666666666,0.9595293278659298,1
7,0.25834212300532006,0.28633705044786134,0.11246850578735272,0.9066666666666666,0.98,0.960777322160813,0.999465145302193,571.1743233203888,0.9707612765198788,5,0.9066666666666666,0.960777322160813,7
8,0.2620216722567292,0.273390638033549,0.09599111545830966,0.9,0.9866666666666667,0.9538242110893207,0.999465145302193,537.8789236545563,0.9707612765198788,5,0.9066666666666666,0.960777322160813,7
9,0.22540898521376007,0.33061638633410134,0.057294733946522076,0.86,0.9866666666666667,0.955072205384204,0.999465145302193,522.7417311668396,0.9707612765198788,5,0.9066666666666666,0.960777322160813,7
10,0.23319114512599567,0.30353309923162064,0.05939398587991794,0.8866666666666667,0.98,0.949723658406133,0.9992868604029239,513.1101565361023,0.9707612765198788,5,0.9066666666666666,0.960777322160813,7
11,0.24113866131095324,0.3403967809677124,0.06031822579602401,0.8466666666666667,0.98,0.943840256730255,0.999465145302193,513.1933646202087,0.9707612765198788,5,0.9066666666666666,0.960777322160813,7
12,0.22745638736907173,0.32026607121030487,0.11256606049835682,0.8733333333333333,0.9733333333333334,0.9465145302192904,0.999643430201462,515.0685408115387,0.9707612765198788,5,0.9066666666666666,0.960777322160813,7
13,0.23334392560919856,0.20003332197666168,0.0976777754848202,0.92,0.9733333333333334,0.9748618292030665,0.9992868604029239,513.3088099956512,0.9748618292030665,13,0.92,0.9748618292030665,13
14,0.2278340847965549,0.23529292292892934,0.059679465629160405,0.9066666666666666,0.9866666666666667,0.9661258691388839,0.999643430201462,514.7985401153564,0.9748618292030665,13,0.92,0.9748618292030665,13
15,0.24161817065494903,0.32072122250994045,0.07909698363393546,0.86,0.98,0.944553396327331,0.999643430201462,513.1617844104767,0.9748618292030665,13,0.92,0.9748618292030665,13
16,0.25352992086287807,0.3132524608572324,0.08116839644809563,0.8933333333333333,0.9866666666666667,0.9408094134426814,0.999465145302193,514.0970449447632,0.9748618292030665,13,0.92,0.9748618292030665,13
17,0.24412626642952948,0.27231607809662817,0.08407363696644704,0.8933333333333333,0.98,0.9559636298805492,0.999465145302193,515.3817195892334,0.9748618292030665,13,0.92,0.9748618292030665,13
18,0.22747442777542506,0.2828356588880221,0.09120365475614865,0.8933333333333333,0.98,0.9493670886075949,0.999643430201462,519.4000985622406,0.9748618292030665,13,0.92,0.9748618292030665,13
19,0.22711448411731158,0.3242973872025808,0.07601546717186769,0.8666666666666667,0.9866666666666667,0.9433054020324478,0.999465145302193,518.175535440445,0.9748618292030665,13,0.92,0.9748618292030665,13
