method_id,method,accuracy_rank,avg_accuracy_attacks,accuracy_ci_low,accuracy_ci_high,worst_accuracy,auc_rank,avg_auc_attacks,auc_ci_low,auc_ci_high,worst_auc
asr,ASR,1,0.9016666666666667,0.8906666666666666,0.9123333333333332,0.7466666666666667,3,0.9543608486361205,0.9469140889641647,0.9613174139775362,0.8414191477981815
metaspidermark_original,MetaSpiderMark (original),1,0.9016666666666666,0.891,0.9116666666666666,0.7533333333333333,1,0.9638375824567659,0.9569017650205026,0.9703897307898022,0.8782242824032804
uniform,Uniform,3,0.8896666666666667,0.8771666666666667,0.9015,0.78,4,0.9533624532002138,0.9449584596184704,0.9611962693884828,0.8718702085933323
ats,ATS,4,0.8889999999999999,0.8771666666666667,0.9001666666666667,0.7693333333333333,2,0.9549799429488322,0.9471269499910857,0.9623096362988055,0.8632412194687109
bandit_ucb,Bandit UCB,5,0.8825,0.8701666666666666,0.8943333333333334,0.7653333333333333,6,0.9466714209306472,0.9381852380103406,0.9550244250311999,0.865423426635764
bass,BASS,6,0.8741666666666666,0.8621666666666666,0.8855,0.7533333333333333,5,0.9502986272062757,0.9415528169014085,0.9582353583526476,0.8627705473346408
